Week 1,,,,,,,,,,Week 2,,,,,,,,,,Week 3,,,,,,,,,,Week 4,,,,,,,,
"Day 1 (Bench Heavy, Speed Bench, Upper Hypertrophy)",,,,,,,,,,"Day 1 (Bench Heavy, Speed Bench, Upper Hypertrophy)",,,,,,,,,,"Day 1 (Bench Heavy, Speed Bench, Upper Hypertrophy)",,,,,,,,,,"Day 1 (Bench Heavy, Speed Bench, Upper Hypertrophy)",,,,,,,,
,Set 1,,Set 2,,Set 3,,Set 4,,,,Set 1,,Set 2,,Set 3,,Set 4,,,,Set 1,,Set 2,,Set 3,,Set 4,,,,Set 1,,Set 2,,Set 3,,Set 4,
Deadlift,75.00,x5,75.00,x4,75.00,AMRAP,,,,Deadlift,75,x5,75,x4,75,AMRAP,,,,Deadlift,75.00,x5,75.00,x4,75.00,AMRAP,,,,Deadlift,80.00,x3,80.00,x3,80.00,x1,75.00,AMRAP
Bench,85.00,x1,60.00,x8,60.00,x8,60.00,x8,,Bench,85,x1,60,x8,60,x8,60.00,x8,,Bench,85.00,x1,60.00,x8,60.00,x8,60.00,x8,,Bench,60.00,x7,60.00,x7,60.00,x7,,
Paused Press ,75.00,(x3sec),75.00,(x3sec),,,,,,Paused Press ,75,(x3sec),75,(x3sec),,,,,,Paused Press ,75.00,(x3sec),75.00,(x3sec),,,,,,Paused Press ,75.00,(x3sec),,,,,,
Wide Grip Bench ,,x5,,x5,,x5,,,,Wide Grip Bench ,,x5,,x5,,x5,,,,Wide Grip Bench ,,x5,,x5,,x5,,,,Wide Grip Bench ,,x5,,,,,,
Weighted Chin-ups,,x6-8,,x6-8,,,,,,Weighted Chin-ups,,x6-8,,x6-8,,,,,,Weighted Chin-ups,,x6-8,,x6-8,,,,,,Weighted Chin-ups,,x6-8,,,,,,
Z-bar Spider Curls,,x8-10,,x8-10,,,,,,Z-bar Spider Curls,,x8-10,,x8-10,,,,,,Z-bar Spider Curls,,x8-10,,x8-10,,,,,,Z-bar Spider Curls,,x8-10,,,,,,
Rear Delt Flys,,x15-20,,x15-20,,,,,,Rear Delt Flys,,x15-20,,x15-20,,,,,,Rear Delt Flys,,x15-20,,x15-20,,,,,,Rear Delt Flys,,x15-20,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Day 5 (Complete Rest or SS Cardio, Mobility)",,,,,,,,,,"Day 5 (Complete Rest or SS Cardio, Mobility)",,,,,,,,,,"Day 5 (Complete Rest or SS Cardio, Mobility)",,,,,,,,,,"Day 5 (Complete Rest or SS Cardio, Mobility)",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Day 6 (Squat Volume, Speed Deadlifts, Lower Hypertrophy)",,,,,,,,,," Day 6 (Squat Volume, Speed Deadlifts, Lower Hypertrophy)",,,,,,,,,," Day 6 (Squat Volume, Speed Deadlifts, Lower Hypertrophy)",,,,,,,,,," Day 6 (Squat Volume, Speed Deadlifts, Lower Hypertrophy)",,,,,,,,
,Set 1,,Set 2,,Set 3,,Set 4,,,,Set 1,,Set 2,,Set 3,,Set 4,,,,Set 1,,Set 2,,Set 3,,Set 4,,,,Set 1,,Set 2,,Set 3,,Set 4,
Squat,85,x1,60,x8,60,x8,60,x8,,Squat,90,x1,65,x8,65,x8,65,x8,,Squat,85.00,x1,60.00,x8,60.00,x8,60.00,x8,,Squat,60.00,x7,60.00,x7,60.00,x7,,
Paused Squats,,x6-8,,x6-8,,,,,,Paused Squats,,x6-8,,x6-8,,,,,,Paused Squats,,x6-8,,x6-8,,,,,,Paused Squats,,x6-8,,,,,,
Front Squats,,x6-8,,x6-8,,,,,,Front Squats,,x6-8,,x6-8,,,,,,Front Squats,,x6-8,,x6-8,,,,,,Front Squats,,x6-8,,,,,,
Speed Deadlift,60,x3,60,x3,,,,,,Speed Deadlift,60,x3,60,x3,,,,,,Speed Deadlift,60.00,x3,60.00,x3,,,,,,Speed Deadlift,60.00,x3,60.00,x3,,,,
